BIN,IssuingCountry,ChargebackFlag
302344,UNITED STATES,0.0
302345,UNITED STATES,0.0
302351,UNITED STATES,0.0
302361,UNITED STATES,0.0
302365,UNITED STATES,0.0
302376,UNITED STATES,0.0
302377,UNITED STATES,0.0
302388,UNITED STATES,0.0
302390,UNITED STATES,0.0
302394,UNITED STATES,0.0
302403,UNITED STATES,0.0
302429,UNITED STATES,0.0
302431,UNITED STATES,0.0
302435,UNITED STATES,0.0
302442,UNITED STATES,0.0
302460,UNITED STATES,0.0
302466,UNITED STATES,0.0
302478,UNITED STATES,0.0
302486,UNITED STATES,0.0
302488,UNITED STATES,0.0
302489,UNITED STATES,0.0
302503,UNITED STATES,0.0
302523,UNITED STATES,0.0
302536,UNITED STATES,0.0
302542,UNITED STATES,0.0
302569,UNITED STATES,0.0
302575,UNITED STATES,0.0
302576,UNITED STATES,0.0
